iter	Passed	Remaining
427	1741	2327
428	1744	2322
429	1748	2317
430	1752	2313
431	1755	2308
432	1759	2303
433	1762	2298
434	1766	2294
435	1770	2289
436	1774	2285
437	1778	2281
438	1781	2277
439	1785	2272
440	1788	2267
441	1792	2262
442	1796	2258
443	1799	2254
444	1803	2249
445	1807	2244
446	1810	2240
447	1814	2235
448	1817	2230
449	1821	2226
450	1825	2221
451	1829	2217
452	1832	2213
453	1836	2208
454	1840	2204
455	1843	2199
456	1847	2195
457	1851	2190
458	1854	2186
459	1858	2182
460	1862	2177
461	1866	2172
462	1869	2168
463	1873	2164
464	1876	2159
465	1880	2155
466	1884	2150
467	1888	2146
468	1891	2141
469	1895	2137
470	1898	2132
471	1902	2128
472	1905	2123
473	1909	2119
474	1913	2114
475	1917	2110
476	1921	2106
477	1924	2101
478	1928	2097
479	1932	2093
480	1935	2088
481	1939	2084
482	1942	2079
483	1946	2074
484	1949	2070
485	1953	2066
486	1957	2061
487	1960	2057
488	1964	2052
489	1968	2048
490	1971	2044
491	1975	2039
492	1979	2035
493	1983	2031
494	1987	2027
495	1991	2023
496	1994	2018
497	1998	2014
498	2002	2010
499	2006	2006
500	2009	2001
501	2013	1997
502	2017	1993
503	2021	1988
504	2024	1984
505	2028	1980
506	2031	1975
507	2035	1971
508	2038	1966
509	2042	1962
510	2046	1958
511	2049	1953
512	2053	1949
513	2057	1945
514	2060	1940
515	2064	1936
516	2068	1932
517	2072	1928
518	2075	1923
519	2079	1919
520	2082	1915
521	2086	1910
522	2090	1906
523	2094	1902
524	2098	1898
525	2101	1893
526	2105	1889
527	2108	1885
528	2112	1880
529	2115	1876
530	2119	1872
531	2123	1867
532	2126	1863
533	2130	1859
534	2134	1855
535	2137	1850
536	2141	1846
537	2144	1841
538	2148	1837
539	2152	1833
540	2155	1829
541	2159	1824
542	2163	1820
543	2167	1816
544	2170	1812
545	2174	1808
546	2178	1803
547	2181	1799
548	2185	1795
549	2189	1791
550	2192	1786
551	2196	1782
552	2199	1778
553	2203	1773
554	2207	1770
555	2211	1765
556	2215	1761
557	2218	1757
558	2222	1753
559	2226	1749
560	2229	1744
561	2233	1740
562	2236	1736
563	2240	1731
564	2243	1727
565	2247	1723
566	2251	1719
567	2255	1715
568	2258	1711
569	2262	1706
570	2266	1702
571	2270	1698
572	2273	1694
573	2277	1690
574	2281	1686
575	2284	1682
576	2288	1677
577	2292	1673
578	2295	1669
579	2299	1664
580	2302	1660
581	2306	1656
582	2309	1652
583	2313	1647
584	2317	1643
585	2320	1639
586	2324	1635
587	2327	1631
588	2332	1627
589	2337	1624
590	2341	1620
591	2345	1616
592	2349	1612
593	2352	1608
594	2356	1603
595	2360	1599
596	2363	1595
597	2367	1591
598	2370	1587
599	2374	1583
600	2378	1578
601	2382	1574
602	2385	1570
603	2389	1566
604	2393	1562
605	2396	1558
606	2400	1554
607	2404	1550
608	2408	1546
609	2412	1542
610	2415	1538
611	2419	1533
612	2422	1529
613	2426	1525
614	2429	1521
615	2433	1517
616	2437	1512
617	2440	1508
618	2444	1504
619	2447	1500
620	2451	1496
621	2455	1492
622	2459	1488
623	2462	1484
624	2466	1479
625	2470	1476
626	2474	1471
627	2478	1467
628	2481	1463
629	2485	1459
630	2488	1455
631	2492	1451
632	2495	1447
633	2499	1443
634	2503	1439
635	2506	1434
636	2510	1430
637	2514	1426
638	2518	1422
639	2521	1418
640	2525	1414
641	2528	1410
642	2532	1405
643	2535	1401
644	2539	1397
645	2542	1393
646	2546	1389
647	2550	1385
648	2553	1381
649	2557	1377
650	2561	1373
651	2565	1369
652	2568	1365
653	2572	1361
654	2576	1356
655	2579	1352
656	2583	1348
657	2586	1344
658	2590	1340
659	2594	1336
660	2597	1332
661	2601	1328
662	2605	1324
663	2609	1320
664	2612	1316
665	2616	1312
666	2620	1308
667	2624	1304
668	2627	1299
669	2631	1295
670	2634	1291
671	2638	1287
672	2641	1283
673	2645	1279
674	2649	1275
675	2652	1271
676	2656	1267
677	2659	1263
678	2663	1259
679	2667	1255
680	2671	1251
681	2674	1247
682	2678	1243
683	2682	1239
684	2686	1235
685	2689	1231
686	2693	1227
687	2696	1222
688	2700	1218
689	2703	1214
690	2707	1210
691	2712	1207
692	2716	1203
693	2720	1199
694	2723	1195
695	2727	1191
696	2731	1187
697	2734	1183
698	2738	1179
699	2742	1175
700	2746	1171
701	2749	1167
702	2753	1163
703	2757	1159
704	2761	1155
705	2764	1151
706	2768	1147
707	2772	1143
708	2776	1139
709	2779	1135
710	2783	1131
711	2787	1127
712	2791	1123
713	2795	1119
714	2798	1115
715	2801	1111
716	2805	1107
717	2809	1103
718	2813	1099
719	2816	1095
720	2820	1091
721	2824	1087
722	2827	1083
723	2831	1079
724	2835	1075
725	2839	1071
726	2842	1067
727	2846	1063
728	2849	1059
729	2853	1055
730	2856	1051
731	2860	1047
732	2863	1043
733	2867	1039
734	2870	1035
735	2874	1031
736	2878	1027
737	2882	1023
738	2885	1019
739	2889	1015
740	2892	1011
741	2896	1007
742	2900	1003
743	2903	999
744	2907	995
745	2911	991
746	2915	987
747	2918	983
748	2922	979
749	2926	975
750	2929	971
751	2933	967
752	2937	963
753	2940	959
754	2944	955
755	2947	951
756	2951	947
757	2954	943
758	2958	939
759	2962	935
760	2965	931
761	2969	927
762	2973	923
763	2976	919
764	2980	915
765	2983	911
766	2987	907
767	2991	903
768	2994	899
769	2998	895
770	3002	891
771	3006	887
772	3009	883
773	3013	879
774	3017	876
775	3021	872
776	3024	868
777	3028	864
778	3032	860
779	3035	856
780	3039	852
781	3043	848
782	3046	844
783	3050	840
784	3053	836
785	3057	832
786	3061	828
787	3065	824
788	3068	820
789	3072	816
790	3075	812
791	3079	808
792	3083	804
793	3086	800
794	3090	796
795	3094	793
796	3097	789
797	3102	785
798	3106	781
799	3110	777
800	3114	773
801	3118	769
802	3122	765
803	3126	762
804	3130	758
805	3134	754
806	3139	750
807	3142	746
808	3146	742
809	3150	739
810	3154	735
811	3158	731
812	3163	727
813	3167	723
814	3171	719
815	3175	715
816	3179	712
817	3183	708
818	3187	704
819	3191	700
820	3196	696
821	3201	693
822	3206	689
823	3210	685
824	3215	681
825	3219	678
826	3224	674
827	3228	670
828	3233	666
829	3237	663
830	3241	659
831	3245	655
832	3249	651
833	3254	647
834	3258	643
835	3262	640
836	3266	636
837	3270	632
838	3274	628
839	3279	624
840	3283	620
841	3287	616
842	3292	613
843	3296	609
844	3300	605
845	3305	601
846	3309	597
847	3313	593
848	3317	590
849	3321	586
850	3326	582
851	3330	578
852	3335	574
853	3339	570
854	3345	567
855	3349	563
856	3353	559
857	3359	555
858	3363	552
859	3367	548
860	3371	544
861	3376	540
862	3380	536
863	3385	532
864	3389	529
865	3394	525
866	3398	521
867	3404	517
868	3407	513
869	3411	509
870	3415	505
871	3420	502
872	3425	498
873	3429	494
874	3434	490
875	3437	486
876	3441	482
877	3445	478
878	3449	474
879	3453	470
880	3458	467
881	3462	463
882	3467	459
883	3471	455
884	3476	451
885	3480	447
886	3485	444
887	3489	440
888	3493	436
889	3497	432
890	3502	428
891	3506	424
892	3510	420
893	3514	416
894	3518	412
895	3523	408
896	3527	405
897	3532	401
898	3536	397
899	3540	393
900	3544	389
901	3548	385
902	3552	381
903	3557	377
904	3561	373
905	3565	369
906	3569	366
907	3575	362
908	3580	358
909	3584	354
910	3588	350
911	3593	346
912	3597	342
913	3602	338
914	3608	335
915	3616	331
916	3620	327
917	3624	323
918	3628	319
919	3632	315
920	3635	311
921	3640	307
922	3644	303
923	3648	300
924	3652	296
925	3656	292
926	3660	288
927	3665	284
928	3668	280
929	3673	276
930	3677	272
931	3681	268
932	3685	264
933	3689	260
934	3693	256
935	3698	252
936	3701	248
937	3707	245
938	3711	241
939	3715	237
940	3719	233
941	3723	229
942	3727	225
943	3731	221
944	3735	217
945	3738	213
946	3743	209
947	3746	205
948	3751	201
949	3755	197
950	3759	193
951	3762	189
952	3767	185
953	3771	181
954	3777	178
955	3781	174
956	3785	170
957	3789	166
958	3793	162
959	3797	158
960	3801	154
961	3805	150
962	3809	146
963	3813	142
964	3818	138
965	3821	134
966	3825	130
967	3829	126
968	3833	122
969	3837	118
970	3841	114
971	3845	110
972	3850	106
973	3854	102
974	3858	98
975	3862	94
976	3866	91
977	3870	87
978	3874	83
979	3878	79
980	3882	75
981	3888	71
982	3893	67
983	3897	63
984	3901	59
985	3906	55
986	3910	51
987	3914	47
988	3918	43
989	3923	39
990	3927	35
991	3931	31
992	3935	27
993	3939	23
994	3945	19
995	3951	15
996	3955	11
997	3959	7
998	3963	3
999	3968	0
